@RELATION svmSMtemp
@ATTRIBUTE features1 NUMERIC
@ATTRIBUTE features2 NUMERIC
@ATTRIBUTE features3 NUMERIC
@ATTRIBUTE features4 NUMERIC
@ATTRIBUTE features5 NUMERIC
@ATTRIBUTE features6 NUMERIC
@ATTRIBUTE features7 NUMERIC
@ATTRIBUTE features8 NUMERIC
@ATTRIBUTE features9 NUMERIC
@ATTRIBUTE features10 NUMERIC
@ATTRIBUTE features11 NUMERIC
@ATTRIBUTE features12 NUMERIC
@ATTRIBUTE features13 NUMERIC
@ATTRIBUTE features14 NUMERIC
@ATTRIBUTE features15 NUMERIC
@ATTRIBUTE features16 NUMERIC
@ATTRIBUTE features17 NUMERIC
@ATTRIBUTE features18 NUMERIC
@ATTRIBUTE features19 NUMERIC
@ATTRIBUTE features20 NUMERIC
@ATTRIBUTE features21 NUMERIC
@ATTRIBUTE features22 NUMERIC
@ATTRIBUTE features23 NUMERIC
@ATTRIBUTE features24 NUMERIC
@ATTRIBUTE features25 NUMERIC
@ATTRIBUTE features26 NUMERIC
@ATTRIBUTE features27 NUMERIC
@ATTRIBUTE features28 NUMERIC
@ATTRIBUTE features29 NUMERIC
@ATTRIBUTE features30 NUMERIC
@ATTRIBUTE features31 NUMERIC
@ATTRIBUTE features32 NUMERIC
@ATTRIBUTE features33 NUMERIC
@ATTRIBUTE features34 NUMERIC
@ATTRIBUTE features35 NUMERIC
@ATTRIBUTE features36 NUMERIC
@ATTRIBUTE features37 NUMERIC
@ATTRIBUTE features38 NUMERIC
@ATTRIBUTE features39 NUMERIC
@ATTRIBUTE features40 NUMERIC
@ATTRIBUTE features41 NUMERIC
@ATTRIBUTE features42 NUMERIC
@ATTRIBUTE features43 NUMERIC
@ATTRIBUTE features44 NUMERIC
@ATTRIBUTE features45 NUMERIC
@ATTRIBUTE features46 NUMERIC
@ATTRIBUTE features47 NUMERIC
@ATTRIBUTE features48 NUMERIC
@ATTRIBUTE features49 NUMERIC
@ATTRIBUTE features50 NUMERIC
@ATTRIBUTE features51 NUMERIC
@ATTRIBUTE features52 NUMERIC
@ATTRIBUTE features53 NUMERIC
@ATTRIBUTE features54 NUMERIC
@ATTRIBUTE features55 NUMERIC
@ATTRIBUTE features56 NUMERIC
@ATTRIBUTE features57 NUMERIC
@ATTRIBUTE features58 NUMERIC
@ATTRIBUTE features59 NUMERIC
@ATTRIBUTE features60 NUMERIC
@ATTRIBUTE features61 NUMERIC
@ATTRIBUTE features62 NUMERIC
@ATTRIBUTE features63 NUMERIC
@ATTRIBUTE features64 NUMERIC
@ATTRIBUTE features65 NUMERIC
@ATTRIBUTE features66 NUMERIC
@ATTRIBUTE features67 NUMERIC
@ATTRIBUTE features68 NUMERIC
@ATTRIBUTE class {happy,sad,angry,calm,fearful,neutral}

@DATA
0.069452,0.009121,3.108086,0.209223,0.219327,0.679862,0.010678,0.066256,-34.012517,0.981886,-0.320007,-0.314327,-0.403421,-0.201026,-0.341336,-0.289431,0.044302,0.142736,0.107305,0.056552,-0.070289,0.006179,0.007780,0.008720,0.006171,0.006504,0.013628,0.062610,0.002840,0.016661,0.012627,0.009727,0.003527,0.026374,0.035573,0.012526,0.230207,0.061297,0.042469,0.373832,0.009509,0.056703,3.600192,0.616052,0.652387,0.476336,0.398063,0.358098,0.364160,0.413103,0.333345,0.292722,0.352784,0.208059,0.190822,0.008669,0.015202,0.008689,0.006346,0.009402,0.024381,0.062192,0.004688,0.021278,0.019594,0.015178,0.004609,0.017765,happy
0.059603,0.012150,2.877304,0.231756,0.224524,0.860554,0.006546,0.082800,-32.956282,1.309308,0.049513,-0.040147,-0.217029,0.257839,0.141903,-0.064114,-0.019539,-0.051139,-0.035438,-0.084721,-0.043211,0.007893,0.005204,0.026032,0.012142,0.007563,0.004756,0.060835,0.004129,0.011301,0.013579,0.018386,0.001936,0.027441,0.035443,0.011341,0.367254,0.060884,0.037213,0.457160,0.004512,0.072239,2.889286,0.578202,0.755982,0.494471,0.460148,0.296764,0.259791,0.234902,0.275298,0.214564,0.213155,0.269544,0.215984,0.013715,0.010059,0.026916,0.015930,0.010318,0.006678,0.051663,0.008084,0.016797,0.014975,0.019503,0.001506,0.015033,happy
0.066611,0.008073,2.840311,0.252140,0.213287,1.015289,0.012985,0.078408,-36.150443,0.696603,-0.227055,-0.294493,-0.243282,-0.139761,-0.267649,-0.166463,0.012494,0.200955,0.270910,0.026972,-0.085206,0.007323,0.003735,0.011993,0.005320,0.006438,0.005468,0.027129,0.005933,0.010388,0.011921,0.012104,0.005684,0.014378,0.036040,0.009133,0.418010,0.087137,0.043953,0.513290,0.023262,0.086557,3.133829,0.861846,0.622732,0.521910,0.335768,0.338649,0.352087,0.305337,0.255894,0.238896,0.326248,0.239250,0.172712,0.008412,0.005334,0.014509,0.003803,0.011579,0.006328,0.021456,0.008935,0.011356,0.015866,0.013332,0.006801,0.009750,happy
0.040955,0.006088,2.950749,0.182970,0.218133,0.367116,0.009230,0.051367,-34.430619,1.300819,0.203967,-0.053699,-0.071723,0.130869,0.069344,0.026085,0.023703,-0.011498,-0.116313,-0.054483,-0.154903,0.008271,0.002010,0.023395,0.008359,0.004852,0.001832,0.097130,0.002028,0.005915,0.020906,0.016638,0.001541,0.038087,0.027295,0.008249,0.376615,0.056505,0.043624,0.287950,0.008153,0.050405,3.545307,0.848557,0.645991,0.457578,0.471418,0.292179,0.252399,0.194628,0.260401,0.205462,0.230311,0.236485,0.249018,0.010928,0.003093,0.036373,0.012113,0.008644,0.002744,0.053249,0.003065,0.008447,0.028483,0.018273,0.001687,0.017069,happy
0.062177,0.026682,2.995899,0.185126,0.197579,0.637633,0.022068,0.108830,-31.836020,1.232724,-0.343976,-0.327404,-0.444891,-0.135889,-0.452019,-0.141725,0.168786,0.199838,0.357492,-0.035794,-0.076226,0.009084,0.009922,0.011588,0.002916,0.003863,0.002858,0.046464,0.002993,0.012665,0.033187,0.008246,0.003205,0.026603,0.047698,0.022353,0.388269,0.067967,0.042941,0.456239,0.044020,0.097540,3.531883,0.654558,0.492439,0.428803,0.324345,0.339907,0.378014,0.322649,0.293242,0.260269,0.320736,0.225226,0.185677,0.015265,0.016930,0.014740,0.003240,0.004993,0.004318,0.031302,0.006007,0.019153,0.031090,0.009962,0.003329,0.014542,happy
0.056503,0.016292,2.871037,0.202323,0.229741,0.372710,0.010990,0.062903,-33.681713,1.781947,0.160185,0.275336,-0.126023,0.221298,0.261163,-0.039198,0.024762,-0.058750,0.050730,-0.068131,0.038569,0.006513,0.001336,0.055519,0.007237,0.007630,0.001396,0.099819,0.001987,0.007962,0.018893,0.020427,0.001064,0.040992,0.031516,0.015067,0.186951,0.041184,0.028254,0.293014,0.008348,0.071593,2.147519,0.521567,0.647007,0.314267,0.344857,0.230263,0.303670,0.233061,0.180215,0.159903,0.196390,0.258386,0.229978,0.008472,0.001919,0.043962,0.009088,0.011705,0.001261,0.029472,0.003899,0.011541,0.020626,0.019007,0.001266,0.013413,happy
0.056050,0.004188,2.904720,0.206601,0.216904,0.548039,0.010748,0.061586,-34.004055,1.581103,0.111511,0.039995,-0.162491,0.071360,0.200394,-0.054956,0.131205,-0.012696,-0.129544,-0.027813,-0.087662,0.009915,0.003039,0.042125,0.008498,0.006815,0.003063,0.094026,0.002695,0.008565,0.017399,0.016566,0.003305,0.036899,0.039199,0.005503,0.295478,0.060663,0.034636,0.395238,0.010047,0.070067,2.747462,0.783082,0.747322,0.473990,0.500473,0.342168,0.307526,0.250042,0.252770,0.217744,0.232555,0.319100,0.265714,0.013609,0.005792,0.038920,0.011694,0.009374,0.007177,0.056088,0.004618,0.010504,0.017081,0.020615,0.005054,0.016408,happy
0.051099,0.019236,3.029925,0.176890,0.170808,0.783735,0.013795,0.082333,-34.291353,0.593031,-0.412045,-0.230802,-0.329481,-0.301551,-0.371938,-0.270908,0.148342,0.180630,0.310300,-0.058066,-0.062844,0.007641,0.007704,0.004151,0.004794,0.006658,0.004434,0.042505,0.004578,0.012585,0.018895,0.007261,0.004603,0.022504,0.033946,0.019809,0.380249,0.074969,0.046234,0.401645,0.025444,0.088738,2.752346,0.665060,0.600480,0.401335,0.308883,0.258863,0.392380,0.378177,0.315713,0.254741,0.322423,0.185506,0.199536,0.011360,0.014076,0.005906,0.007306,0.014636,0.008159,0.019606,0.011618,0.016544,0.020995,0.011020,0.009177,0.011815,happy
0.047129,0.028753,2.875731,0.215486,0.222998,0.680064,0.007180,0.046119,-32.579447,1.650497,-0.170405,-0.206769,-0.209976,0.135159,0.264533,-0.008713,-0.058772,-0.055341,-0.156679,-0.039576,-0.187261,0.009451,0.005389,0.033025,0.012474,0.018080,0.003589,0.018288,0.002184,0.010285,0.017788,0.024468,0.004352,0.020130,0.024167,0.022076,0.400705,0.072157,0.040789,0.338970,0.005486,0.039762,3.423289,0.605594,0.527516,0.523309,0.352523,0.258507,0.288388,0.232125,0.261197,0.234553,0.215416,0.269487,0.225691,0.012455,0.007662,0.036460,0.015412,0.023016,0.002845,0.018424,0.003385,0.014888,0.016154,0.021862,0.006821,0.011360,happy
0.062794,0.024137,2.692990,0.256800,0.223104,0.799206,0.007413,0.080669,-33.247681,0.898299,-0.429270,-0.264230,-0.201574,-0.316086,-0.179466,-0.368245,0.179367,0.187034,0.348042,0.113108,-0.149557,0.007791,0.012946,0.020477,0.005679,0.003829,0.003670,0.019714,0.002318,0.019661,0.018741,0.007435,0.004526,0.018779,0.046087,0.020345,0.562411,0.074800,0.037086,0.469441,0.005603,0.089826,4.069100,0.716005,0.624713,0.401998,0.354060,0.350097,0.318657,0.434009,0.300238,0.267828,0.363077,0.244498,0.235760,0.013296,0.022589,0.021560,0.007086,0.004679,0.006000,0.019350,0.002568,0.021956,0.020617,0.008318,0.005356,0.011891,happy
